matchId,blueTeamControlWardsPlaced,blueTeamWardsPlaced,blueTeamTotalKills,blueTeamDragonKills,blueTeamHeraldKills,blueTeamTowersDestroyed,blueTeamInhibitorsDestroyed,blueTeamTurretPlatesDestroyed,blueTeamFirstBlood,blueTeamMinionsKilled,blueTeamJungleMinions,blueTeamTotalGold,blueTeamXp,blueTeamTotalDamageToChamps,redTeamControlWardsPlaced,redTeamWardsPlaced,redTeamTotalKills,redTeamDragonKills,redTeamHeraldKills,redTeamTowersDestroyed,redTeamInhibitorsDestroyed,redTeamTurretPlatesDestroyed,redTeamMinionsKilled,redTeamJungleMinions,redTeamTotalGold,redTeamXp,redTeamTotalDamageToChamps,blueWin,diffMinionsKilled,diffJungleMinions,diffTotalGold,diffTotalKills,diffXp,diffTotalDamageToChamps,diffDragonKills,diffHeraldKills,diffTowersDestroyed,diffInhibitorsDestroyed,diffTurretPlatesDestroyed
EUW1_6882489515',2,23,4,2,0,0,0,7,0,388,106,23923,29798,21842,6,34,16,0,0,2,0,1,400,94,29637,32613,27239,1,-12,12,-5714,-12,-2815,-5397,2,0,-2,0,6
EUW1_6882416210',2,46,12,1,0,1,0,10,0,348,98,27852,30530,35817,6,26,17,0,0,1,0,4,373,76,28970,30320,36585,0,-25,22,-1118,-5,210,-768,1,0,0,0,6
EUW1_6881092720',2,19,13,0,0,0,0,11,0,331,96,28126,29501,38039,3,241,18,1,0,2,0,3,340,84,30510,29464,42984,0,-9,12,-2384,-5,37,-4945,-1,0,-2,0,8
EUW1_6879405717',3,28,8,0,1,1,0,9,1,355,84,27333,30466,31338,0,23,10,1,0,0,0,5,378,87,25157,31069,28229,0,-23,-3,2176,-2,-603,3109,-1,1,1,0,4
EUW1_6879389461',3,30,11,1,1,1,0,7,0,370,100,27772,31066,26676,7,26,7,1,0,1,0,5,382,96,26052,29475,19245,1,-12,4,1720,4,1591,7431,0,1,0,0,2
EUW1_6879371828',2,24,3,0,0,0,0,16,0,369,80,24011,26872,22414,1,33,15,2,1,3,0,3,357,70,28368,30422,30967,0,12,10,-4357,-12,-3550,-8553,-2,-1,-3,0,13
EUW1_6878383684',3,22,15,2,0,1,0,10,0,331,96,27717,30575,31257,3,128,9,0,0,1,0,5,403,96,28584,29831,31563,1,-72,0,-867,6,744,-306,2,0,0,0,5
EUW1_6878298308',0,30,11,1,0,0,0,8,1,392,104,27834,31205,24044,0,23,5,0,0,0,0,2,359,100,24105,29335,24014,1,33,4,3729,6,1870,30,1,0,0,0,6
EUW1_6878182424',2,30,7,0,0,1,0,9,1,403,88,27339,30398,31853,2,23,11,1,0,0,0,4,397,88,26470,30053,25791,1,6,0,869,-4,345,6062,-1,0,1,0,5
EUW1_6878139143',2,34,15,0,1,0,0,9,0,314,96,28220,30249,31888,5,28,16,1,0,0,0,2,381,88,28806,31373,37085,0,-67,8,-586,-1,-1124,-5197,-1,1,0,0,7
EUW1_6878103014',4,28,15,0,0,1,0,5,1,339,94,29311,30297,43314,6,33,16,2,1,0,0,7,357,77,29016,31764,36013,1,-18,17,295,-1,-1467,7301,-2,-1,1,0,-2
EUW1_6878057215',5,29,6,0,0,0,0,8,0,314,95,23614,28459,22594,8,37,10,2,0,1,0,1,424,104,28919,31398,33019,0,-110,-9,-5305,-4,-2939,-10425,-2,0,-1,0,7
EUW1_6878033584',2,27,7,0,0,0,0,10,0,397,81,25028,29998,24117,4,32,14,2,0,1,0,0,392,102,29252,29621,24888,0,5,-21,-4224,-7,377,-771,-2,0,-1,0,10
EUW1_6878003846',4,53,15,2,0,0,0,10,0,388,104,30853,31942,32641,2,50,9,0,0,1,0,5,349,82,25976,26594,25047,1,39,22,4877,6,5348,7594,2,0,-1,0,5
EUW1_6877975035',7,33,9,1,1,1,0,7,1,395,125,28301,32824,21349,6,31,8,1,0,1,0,5,384,96,26185,29361,21848,1,11,29,2116,1,3463,-499,0,1,0,0,2
EUW1_6875344552',6,61,7,0,0,0,0,12,0,340,69,25720,26327,30631,4,66,26,2,0,2,0,4,370,95,33463,31967,42121,0,-30,-26,-7743,-19,-5640,-11490,-2,0,-2,0,8
EUW1_6875306770',3,26,8,0,0,0,0,12,1,388,81,26121,28171,26093,7,27,17,2,0,1,0,5,378,99,30069,31943,34386,0,10,-18,-3948,-9,-3772,-8293,-2,0,-1,0,7
EUW1_6875259973',1,42,21,1,0,0,0,6,1,315,73,29574,29142,44096,3,22,15,0,0,1,0,4,320,100,29312,29536,32448,0,-5,-27,262,6,-394,11648,1,0,-1,0,2
EUW1_6875217596',7,42,8,1,1,1,0,5,1,396,112,26832,31931,28387,8,34,4,1,0,0,0,2,351,92,22703,28019,18604,1,45,20,4129,4,3912,9783,0,1,1,0,3
EUW1_6875197822',8,35,11,0,0,1,0,9,1,365,92,27995,29827,28544,6,29,14,2,0,0,0,6,356,87,27464,29406,32283,0,9,5,531,-3,421,-3739,-2,0,1,0,3
EUW1_6879360874',1,22,11,0,0,1,0,14,0,360,98,28509,30266,28945,5,27,22,2,0,2,0,5,365,86,30744,32658,39159,0,-5,12,-2235,-11,-2392,-10214,-2,0,-1,0,9
EUW1_6869300631',3,268,6,2,0,1,0,11,1,372,97,24998,29079,22569,4,29,10,0,0,1,0,4,366,89,26747,30308,30912,0,6,8,-1749,-4,-1229,-8343,2,0,0,0,7
EUW1_6869276441',2,18,9,0,0,0,0,8,0,373,103,26596,29128,29244,2,22,18,2,0,0,0,2,345,92,28966,30154,32658,0,28,11,-2370,-9,-1026,-3414,-2,0,0,0,6
EUW1_6869246594',4,29,13,0,0,1,0,10,0,383,90,30241,30863,33538,3,100,22,1,0,1,0,5,337,96,31071,30097,48610,0,46,-6,-830,-9,766,-15072,-1,0,0,0,5
EUW1_6829920333',2,22,25,0,0,1,0,8,1,395,100,33987,34071,46331,1,21,8,0,0,2,0,5,329,76,24540,28461,22942,1,66,24,9447,17,5610,23389,0,0,-1,0,3
EUW1_6882482484',1,21,16,2,0,2,0,8,1,385,81,30746,31305,39856,1,29,9,0,0,0,0,7,343,94,26009,28740,38566,1,42,-13,4737,7,2565,1290,2,0,2,0,1
EUW1_6882456043',3,29,18,2,1,2,0,7,1,391,83,29687,31892,29104,7,41,0,0,0,0,0,5,328,96,20460,26145,17407,1,63,-13,9227,18,5747,11697,2,1,2,0,2
EUW1_6882436994',9,32,19,0,0,0,0,8,1,359,80,29789,30957,36645,3,154,16,2,0,1,0,7,301,75,27379,29385,39105,1,58,5,2410,3,1572,-2460,-2,0,-1,0,1
EUW1_6882425551',1,28,22,1,1,0,0,8,1,332,108,30938,32232,43051,1,272,8,0,0,1,0,4,293,79,24170,25255,29871,1,39,29,6768,14,6977,13180,1,1,-1,0,4
EUW1_6880935420',3,27,12,0,0,3,0,6,1,413,98,30662,31213,34023,2,44,7,1,0,0,0,8,302,80,23702,26397,22266,1,111,18,6960,5,4816,11757,-1,0,3,0,-2
EUW1_6880909380',7,30,19,2,0,2,0,10,1,344,74,31101,29363,35754,5,43,11,0,0,1,0,5,340,82,27309,27810,28042,1,4,-8,3792,8,1553,7712,2,0,1,0,5
EUW1_6880890229',2,27,16,0,0,0,0,15,0,331,81,27437,28886,34026,5,30,11,2,0,3,0,2,341,97,29032,28818,31365,0,-10,-16,-1595,5,68,2661,-2,0,-3,0,13
EUW1_6879474161',4,31,6,0,0,0,0,13,0,344,79,23847,27298,25426,3,38,17,2,0,3,0,2,390,96,31306,30319,30775,0,-46,-17,-7459,-11,-3021,-5349,-2,0,-3,0,11
EUW1_6879450066',5,46,12,1,0,1,0,6,0,411,80,28053,30926,34027,4,27,5,1,0,0,0,2,345,87,23338,28548,28547,1,66,-7,4715,7,2378,5480,0,0,1,0,4
EUW1_6879424931',7,31,15,0,0,1,0,9,1,355,83,29346,28824,33708,4,67,13,2,0,0,0,6,363,85,27430,29290,32796,0,-8,-2,1916,2,-466,912,-2,0,1,0,3
EUW1_6879325614',4,37,12,1,0,0,0,13,0,348,90,27347,29964,37081,2,22,17,1,0,1,0,2,300,90,28539,30511,36305,0,48,0,-1192,-5,-547,776,0,0,-1,0,11
EUW1_6879310911',4,26,14,0,0,0,0,17,0,329,64,27083,27569,33027,2,34,27,1,0,3,0,1,361,85,35265,32112,46623,0,-32,-21,-8182,-13,-4543,-13596,-1,0,-3,0,16
EUW1_6878006751',4,26,14,0,0,1,0,12,0,306,84,27074,26000,28797,1,30,19,2,0,1,0,5,349,80,30509,29369,35569,0,-43,4,-3435,-5,-3369,-6772,-2,0,0,0,7
EUW1_6877969177',6,36,11,0,1,1,0,4,0,392,102,28874,29002,33397,5,26,11,2,0,0,0,6,349,98,26139,27984,24444,0,43,4,2735,0,1018,8953,-2,1,1,0,-2
EUW1_6877956644',2,24,10,1,0,1,0,10,1,367,120,28396,32017,31968,3,29,12,1,0,0,0,3,355,92,25854,31575,35226,1,12,28,2542,-2,442,-3258,0,0,1,0,7
EUW1_6877891153',2,24,10,1,0,1,0,8,0,332,84,25763,28626,25258,2,31,16,1,0,0,0,2,353,93,28343,31125,35053,0,-21,-9,-2580,-6,-2499,-9795,0,0,1,0,6
EUW1_6877879899',4,22,17,0,1,1,0,3,1,342,100,29527,28610,34602,1,26,16,1,0,1,0,4,304,76,28109,28481,31889,0,38,24,1418,1,129,2713,-1,1,0,0,-1
EUW1_6877867925',3,27,8,0,0,0,0,8,0,355,89,24049,29168,28111,6,35,20,2,0,2,0,0,391,98,31219,32491,37809,0,-36,-9,-7170,-12,-3323,-9698,-2,0,-2,0,8
EUW1_6877850091',2,139,22,0,0,0,0,11,1,349,95,30558,32138,37954,6,31,17,1,0,0,0,1,334,90,29064,30293,34778,1,15,5,1494,5,1845,3176,-1,0,0,0,10
EUW1_6879349198',5,29,16,2,1,0,0,17,0,282,87,27176,29756,36660,4,339,11,0,0,3,0,0,349,94,28460,28904,37620,0,-67,-7,-1284,5,852,-960,2,1,-3,0,17
EUW1_6872767863',5,25,9,2,0,0,0,9,1,361,81,25626,27579,34533,4,30,23,0,0,1,0,3,333,94,31185,31803,37413,0,28,-13,-5559,-14,-4224,-2880,2,0,-1,0,6
EUW1_6872712198',2,25,14,2,0,1,0,7,0,366,99,27864,31232,33145,1,91,12,0,0,0,0,4,321,62,26001,29789,36100,1,45,37,1863,2,1443,-2955,2,0,1,0,3
EUW1_6872638403',0,78,14,1,0,0,0,7,0,320,90,27617,29772,34928,5,28,16,0,0,0,0,2,359,74,27682,29944,33949,1,-39,16,-65,-2,-172,979,1,0,0,0,5
EUW1_6872613273',7,31,18,1,0,1,0,8,1,354,82,31940,31827,39475,3,26,11,0,0,0,0,6,345,114,27343,28639,28239,1,9,-32,4597,7,3188,11236,1,0,1,0,2
EUW1_6870154666',7,28,16,2,0,2,0,4,1,425,98,31944,34857,36283,3,21,8,0,0,1,0,11,328,102,23056,28357,17286,1,97,-4,8888,8,6500,18997,2,0,1,0,-7
EUW1_6869224469',0,28,14,0,0,1,0,12,1,393,73,30464,29607,34030,5,28,18,2,0,2,0,9,302,74,30630,28913,42849,1,91,-1,-166,-4,694,-8819,-2,0,-1,0,3
EUW1_6869187175',5,27,12,1,1,0,0,8,1,389,78,26737,30627,27915,1,49,10,1,0,0,0,2,384,106,26876,29744,29125,1,5,-28,-139,2,883,-1210,0,1,0,0,6
EUW1_6869159452',6,25,14,1,0,1,0,7,1,348,90,27655,28707,37093,0,59,3,1,0,0,0,6,332,66,22073,26423,25049,1,16,24,5582,11,2284,12044,0,0,1,0,1
EUW1_6867771512',1,28,12,2,0,1,0,2,1,346,87,27783,28145,27689,6,26,7,0,0,0,0,8,298,93,23582,26925,29605,1,48,-6,4201,5,1220,-1916,2,0,1,0,-6
EUW1_6867736241',5,31,18,1,0,0,0,7,1,359,92,30561,28250,37614,6,31,19,0,0,1,0,5,334,46,29558,27292,42885,1,25,46,1003,-1,958,-5271,1,0,-1,0,2
EUW1_6867728692',4,32,16,2,0,1,0,9,1,317,98,29175,29354,38685,3,24,8,0,0,0,0,8,346,82,25114,25451,29751,1,-29,16,4061,8,3903,8934,2,0,1,0,1
EUW1_6867706172',5,29,14,2,0,1,0,8,1,402,100,29460,31824,39774,5,32,10,0,1,1,0,6,311,84,26199,28528,25218,1,91,16,3261,4,3296,14556,2,-1,0,0,2
EUW1_6867692806',6,145,8,0,0,1,0,10,0,377,94,26499,28791,24753,7,28,9,2,0,1,0,6,379,101,26157,29110,27036,0,-2,-7,342,-1,-319,-2283,-2,0,0,0,4
EUW1_6867677699',4,28,24,1,0,1,0,9,1,345,76,33338,31437,39880,5,25,11,1,0,1,0,6,372,83,26812,30418,35138,1,-27,-7,6526,13,1019,4742,0,0,0,0,3
EUW1_6867663986',1,24,12,2,0,2,0,4,1,405,96,28678,31269,32626,2,25,5,0,0,0,0,7,299,96,22444,27514,25548,1,106,0,6234,7,3755,7078,2,0,2,0,-3
EUW1_6867658653',1,22,14,1,1,1,0,7,0,419,115,31349,34393,31047,3,22,7,1,0,1,0,4,357,94,23627,28779,26528,1,62,21,7722,7,5614,4519,0,1,0,0,3
EUW1_6866602810',4,32,16,2,0,1,0,5,0,405,119,30335,33535,25004,2,27,5,0,0,0,0,6,351,80,23384,28136,24560,1,54,39,6951,11,5399,444,2,0,1,0,-1
EUW1_6883322609',6,36,16,2,0,2,0,5,1,418,94,30604,32596,34017,2,39,4,0,0,0,0,7,347,81,22483,27193,20910,1,71,13,8121,12,5403,13107,2,0,2,0,-2
EUW1_6883246513',4,26,15,1,0,0,0,7,1,343,101,27906,29574,37902,2,28,10,1,0,1,0,5,310,79,25822,28918,28201,0,33,22,2084,5,656,9701,0,0,-1,0,2
EUW1_6883171691',2,22,17,0,1,2,0,9,0,342,88,31416,30196,36086,1,25,9,1,0,2,0,6,355,92,27830,27670,28491,1,-13,-4,3586,8,2526,7595,-1,1,0,0,3
EUW1_6882840815',3,26,15,0,0,1,0,11,0,385,81,29741,29018,35869,8,32,16,2,0,1,0,3,351,89,29374,29028,34226,0,34,-8,367,-1,-10,1643,-2,0,0,0,8
EUW1_6882786083',2,18,16,2,1,1,0,6,1,375,104,29762,32538,33015,3,46,7,0,0,1,0,3,384,88,25318,30709,25051,1,-9,16,4444,9,1829,7964,2,1,0,0,3
EUW1_6881799024',7,50,17,1,0,1,0,7,1,323,100,31603,32525,32609,5,26,8,0,0,1,0,6,340,72,24497,26104,27954,1,-17,28,7106,9,6421,4655,1,0,0,0,1
EUW1_6881697918',4,31,10,2,0,0,0,7,0,330,86,24931,28697,29936,5,22,12,0,0,0,0,2,343,73,26694,28708,27557,0,-13,13,-1763,-2,-11,2379,2,0,0,0,5
EUW1_6879962130',5,220,11,0,0,1,0,10,0,355,84,28238,30106,42473,1,20,16,2,0,1,0,5,363,85,28946,31468,32417,0,-8,-1,-708,-5,-1362,10056,-2,0,0,0,5
EUW1_6879899279',5,43,19,1,0,1,0,7,0,336,70,29540,29629,42962,2,28,15,0,0,0,0,6,325,74,27258,27584,33268,1,11,-4,2282,4,2045,9694,1,0,1,0,1
EUW1_6879616200',3,23,18,1,0,0,0,9,1,360,78,30083,30783,35613,8,26,9,0,0,2,0,3,343,75,24933,28126,27750,0,17,3,5150,9,2657,7863,1,0,-2,0,6
EUW1_6879474038',4,28,10,1,0,0,0,7,1,360,94,26233,30015,26304,2,25,14,1,0,0,0,1,387,84,27586,31379,37983,1,-27,10,-1353,-4,-1364,-11679,0,0,0,0,6
EUW1_6879440356',5,25,11,0,0,1,0,6,1,387,111,28025,32477,33124,2,34,6,1,0,0,0,6,346,76,24007,28966,23335,1,41,35,4018,5,3511,9789,-1,0,1,0,0
EUW1_6879427639',2,149,14,1,0,0,0,14,1,301,96,28739,27809,30611,7,40,18,1,0,1,0,8,343,82,30490,28248,36223,0,-42,14,-1751,-4,-439,-5612,0,0,-1,0,6
EUW1_6879399367',3,30,11,0,0,0,0,4,1,387,79,27383,29323,37709,5,26,14,1,0,0,0,6,314,74,26325,29945,28880,1,73,5,1058,-3,-622,8829,-1,0,0,0,-2
EUW1_6878860917',6,37,18,1,0,1,0,12,1,356,73,30081,31068,34350,2,20,7,1,0,3,0,7,383,91,27529,29101,30316,1,-27,-18,2552,11,1967,4034,0,0,-2,0,5
EUW1_6878800720',2,23,12,2,0,1,0,9,1,391,110,29659,32536,31568,0,20,10,0,0,0,0,5,370,90,26568,29411,26821,1,21,20,3091,2,3125,4747,2,0,1,0,4
EUW1_6878753644',2,20,14,0,1,0,0,8,0,338,81,27793,30573,31487,1,30,13,2,0,0,0,4,341,113,27452,29245,30663,1,-3,-32,341,1,1328,824,-2,1,0,0,4
EUW1_6878702910',2,24,8,2,0,0,0,8,0,349,95,25397,28712,27370,2,21,10,0,1,1,0,0,380,87,27198,31275,31902,0,-31,8,-1801,-2,-2563,-4532,2,-1,-1,0,8
EUW1_6878658793',4,39,9,1,0,0,0,9,0,320,105,25650,28052,26145,1,24,16,0,0,1,0,2,356,84,28314,30545,29003,0,-36,21,-2664,-7,-2493,-2858,1,0,-1,0,7
EUW1_6881065995',4,28,15,1,0,1,0,11,0,338,88,28522,30670,30220,5,23,11,0,0,1,0,8,390,88,28930,30390,34536,0,-52,0,-408,4,280,-4316,1,0,0,0,3
EUW1_6881016403',0,25,12,0,0,0,0,14,0,320,75,27316,27304,29014,4,29,19,2,0,3,0,3,356,96,32073,29540,33631,0,-36,-21,-4757,-7,-2236,-4617,-2,0,-3,0,11
